"Apart","pps"
"현대10차(201,202동)",1293
"현대10차(201,202동)",1294
"현대10차(201,202동)",1345
"현대13차(208~211동)",1392
"현대13차(208~211동)",1383
"현대13차(208~211동)",1475
"현대14차(203,204,205,206동)",1766
"현대14차(203,204,205,206동)",1765
"현대14차(203,204,205,206동)",1677
"현대14차(203,204,205,206동)",1648
"현대14차(203,204,205,206동)",1695
"현대14차(203,204,205,206동)",1812
"현대1차(12,13,21,22,31,32,33동)",1320
"현대1차(12,13,21,22,31,32,33동)",1217
"현대1차(12,13,21,22,31,32,33동)",1278
"현대1차(12,13,21,22,31,32,33동)",1202
"현대1차(12,13,21,22,31,32,33동)",1316
"현대1차(12,13,21,22,31,32,33동)",1303
"현대1차(12,13,21,22,31,32,33동)",1266
"현대1차(12,13,21,22,31,32,33동)",1335
"현대2차(10,11,20,23,24,25동)",1228
"현대2차(10,11,20,23,24,25동)",1275
"현대2차(10,11,20,23,24,25동)",1307
"현대2차(10,11,20,23,24,25동)",1299
"현대3차(61~64동)",1533
"현대3차(61~64동)",1491
"현대3차(61~64동)",1479
"현대3차(61~64동)",1509
"현대3차(61~64동)",1576
"현대3차(61~64동)",1596
"현대4차저층(51~56동)",1722
"현대4차저층(51~56동)",1823
"현대5차(71,72동)",1745
"현대5차(71,72동)",1861
"현대65동(대림아크로빌아파트)",1558
"현대6차(78~81,83,84,86,87동)",1493
"현대6차(78~81,83,84,86,87동)",1334
"현대6차(78~81,83,84,86,87동)",1398
"현대6차(78~81,83,84,86,87동)",1462
"현대6차(78~81,83,84,86,87동)",1422
"현대7차(73~77,82,85동)",1550
"현대7차(73~77,82,85동)",1481
"현대8차(성수현대:91~95동)",1173
"현대8차(성수현대:91~95동)",1171
"현대8차(성수현대:91~95동)",1139
"현대8차(성수현대:91~95동)",1217
"현대8차(성수현대:91~95동)",1185
"e-편한세상",1309
"e-편한세상",1443
"e-편한세상",1410
"e-편한세상",1292
"e-편한세상",1376
"e-편한세상",1334
"e-편한세상",1455
"e-편한세상",1401
"e-편한세상",1473
"e-편한세상",1409
"강남서해더블루",751
"강남서해더블루",822
"개나리 푸르지오",1491
"개나리 푸르지오",1358
