address,Apart,pps,gu,dong,size,floor,year,long,lat
가마산로27길 66,아스타 빌,327,구로구,구로동,84.99,8,12,126.8901565,37.49961197
가마산로27길 66,아스타 빌,383,구로구,구로동,67.97,11,12,126.8901565,37.49961197
가마산로50길 27,대성유니드,449,영등포구,신길동,83.5,5,13,126.902839,37.50135508
가마산로79길 19,신길동자이,571,영등포구,신길동,84.94,4,5,126.916861,37.50611776
가마산로79길 19,신길동자이,667,영등포구,신길동,59.99,12,5,126.916861,37.50611776
가마산로79길 19,신길동자이,633,영등포구,신길동,59.99,1,5,126.916861,37.50611776
가마산로79길 7,삼성래미안,588,영등포구,신길동,59.33,8,15,126.9160263,37.50514886
가마산로79길 7,삼성래미안,483,영등포구,신길동,84.91,10,15,126.9160263,37.50514886
가마산로79길 7,삼성래미안,587,영등포구,신길동,59.33,19,15,126.9160263,37.50514886
가마산로79길 7,삼성래미안,578,영등포구,신길동,59.33,3,15,126.9160263,37.50514886
가마산로79길 7,삼성래미안,492,영등포구,신길동,84.91,13,15,126.9160263,37.50514886
가마산로79길 7,삼성래미안,453,영등포구,신길동,114.87,12,15,126.9160263,37.50514886
가마산로79길 7,삼성래미안,588,영등포구,신길동,59.33,19,15,126.9160263,37.50514886
가마산로79길 7,삼성래미안,483,영등포구,신길동,84.91,4,15,126.9160263,37.50514886
가마산로79길 7,삼성래미안,506,영등포구,신길동,84.91,3,15,126.9160263,37.50514886
가마산로79길 7,삼성래미안,571,영등포구,신길동,59.33,21,15,126.9160263,37.50514886
가산로 106,주상복합두산,414,금천구,가산동,59.25,3,18,126.893612,37.47539304
가산로 147,가산지웰에스테이트,973,금천구,가산동,12.13,15,3,126.8905896,37.47835784
가산로 99,두산,453,금천구,가산동,84.9,13,18,126.8936119,37.47461382
가산로 99,두산,409,금천구,가산동,84.9,7,18,126.8936119,37.47461382
가산로 99,두산,439,금천구,가산동,84.9,19,18,126.8936119,37.47461382
가산로 99,두산,501,금천구,가산동,59.84,4,18,126.8936119,37.47461382
가산로 99,두산,520,금천구,가산동,59.84,16,18,126.8936119,37.47461382
가산로 99,두산,518,금천구,가산동,59.84,4,18,126.8936119,37.47461382
가산로 99,두산,543,금천구,가산동,59.84,14,18,126.8936119,37.47461382
가산로 99,두산,438,금천구,가산동,84.9,15,18,126.8936119,37.47461382
가산로 99,두산,511,금천구,가산동,59.84,10,18,126.8936119,37.47461382
가산로 99,두산,513,금천구,가산동,59.84,1,18,126.8936119,37.47461382
가산로 99,두산,535,금천구,가산동,59.84,10,18,126.8936119,37.47461382
가산로 99,두산,526,금천구,가산동,59.84,21,18,126.8936119,37.47461382
가산로 99,두산,403,금천구,가산동,101.67,16,18,126.8936119,37.47461382
가산로 99,두산,551,금천구,가산동,59.84,18,18,126.8936119,37.47461382
가산로 99,두산,364,금천구,가산동,101.67,2,18,126.8936119,37.47461382
가산로 99,두산,513,금천구,가산동,59.84,2,18,126.8936119,37.47461382
가산로 99,두산,400,금천구,가산동,84.9,2,18,126.8936119,37.47461382
가산로 99,두산,498,금천구,가산동,59.84,5,18,126.8936119,37.47461382
가산로 99,두산,392,금천구,가산동,101.67,6,18,126.8936119,37.47461382
가산로 99,두산,430,금천구,가산동,84.9,12,18,126.8936119,37.47461382
가산로 99,두산,400,금천구,가산동,84.9,1,18,126.8936119,37.47461382
가산로 99,두산,501,금천구,가산동,59.84,6,18,126.8936119,37.47461382
가산로 99,두산,296,금천구,가산동,134.95,2,18,126.8936119,37.47461382
가산로 99,두산,426,금천구,가산동,84.9,19,18,126.8936119,37.47461382
가산로 99,두산,412,금천구,가산동,84.9,25,18,126.8936119,37.47461382
가산로 99,두산,550,금천구,가산동,59.84,9,18,126.8936119,37.47461382
가산로 99,두산,543,금천구,가산동,59.84,23,18,126.8936119,37.47461382
가산로 99,두산,287,금천구,가산동,134.95,1,18,126.8936119,37.47461382
가산로 99,두산,533,금천구,가산동,59.84,2,18,126.8936119,37.47461382
가산로 99,두산,436,금천구,가산동,84.9,24,18,126.8936119,37.47461382
가산로 99,두산,535,금천구,가산동,59.84,12,18,126.8936119,37.47461382
가산로 99,두산,444,금천구,가산동,84.9,15,18,126.8936119,37.47461382
가산로 99,두산,331,금천구,가산동,134.95,9,18,126.8936119,37.47461382
가재울로 45,남가좌동현대,488,서대문구,남가좌동,59.4,1,17,126.9214214,37.5750966
가재울로 45,남가좌동현대,569,서대문구,남가좌동,59.4,5,17,126.9214214,37.5750966
가재울로 45,남가좌동현대,552,서대문구,남가좌동,59.4,6,17,126.9214214,37.5750966
가재울로 45,남가좌동현대,519,서대문구,남가좌동,84.78,18,17,126.9214214,37.5750966
가재울로 45,남가좌동현대,522,서대문구,남가좌동,59.4,1,17,126.9214214,37.5750966
가재울로 45,남가좌동현대,572,서대문구,남가좌동,59.4,16,17,126.9214214,37.5750966
가재울로 45,남가좌동현대,562,서대문구,남가좌동,59.4,7,17,126.9214214,37.5750966
가재울로 45,남가좌동현대,507,서대문구,남가좌동,84.78,7,17,126.9214214,37.5750966
가재울로 45,남가좌동현대,495,서대문구,남가좌동,84.78,2,17,126.9214214,37.5750966
가재울로 45,남가좌동현대,440,서대문구,남가좌동,114.9,10,17,126.9214214,37.5750966
가재울로 45,남가좌동현대,426,서대문구,남가좌동,114.9,17,17,126.9214214,37.5750966
가재울로 45,남가좌동현대,531,서대문구,남가좌동,84.78,10,17,126.9214214,37.5750966
가재울로 45,남가좌동현대,564,서대문구,남가좌동,59.4,2,17,126.9214214,37.5750966
가재울로 45,남가좌동현대,522,서대문구,남가좌동,59.4,13,17,126.9214214,37.5750966
가재울로 45,남가좌동현대,564,서대문구,남가좌동,59.4,13,17,126.9214214,37.5750966
가재울로 45,남가좌동현대,409,서대문구,남가좌동,114.9,11,17,126.9214214,37.5750966
가재울로 45,남가좌동현대,572,서대문구,남가좌동,59.4,6,17,126.9214214,37.5750966
가재울로 45,남가좌동현대,502,서대문구,남가좌동,73.65,12,17,126.9214214,37.5750966
가재울로 45,남가좌동현대,564,서대문구,남가좌동,59.4,8,17,126.9214214,37.5750966
가재울로 45,남가좌동현대,556,서대문구,남가좌동,59.4,4,17,126.9214214,37.5750966
가재울로 45,남가좌동현대,409,서대문구,남가좌동,114.9,16,17,126.9214214,37.5750966
가재울로 45,남가좌동현대,396,서대문구,남가좌동,114.9,9,17,126.9214214,37.5750966
가재울로 45,남가좌동현대,535,서대문구,남가좌동,59.4,8,17,126.9214214,37.5750966
가재울로 45,남가좌동현대,519,서대문구,남가좌동,84.78,16,17,126.9214214,37.5750966
가재울로 45,남가좌동현대,428,서대문구,남가좌동,114.9,7,17,126.9214214,37.5750966
가재울로 45,남가좌동현대,531,서대문구,남가좌동,84.78,16,17,126.9214214,37.5750966
가재울로 45,남가좌동현대,543,서대문구,남가좌동,73.65,10,17,126.9214214,37.5750966
가재울로 45,남가좌동현대,537,서대문구,남가좌동,59.4,14,17,126.9214214,37.5750966
가재울로 45,남가좌동현대,516,서대문구,남가좌동,59.4,12,17,126.9214214,37.5750966
가재울로 45,남가좌동현대,418,서대문구,남가좌동,114.9,13,17,126.9214214,37.5750966
