"address","Apart","gu","dong","long","lat","dist_from_univ","dist_from_middleschool","dist_from_bus","dist_from_hospital"
"덕릉로63길 37","보람아파트","도봉구","창동",127.0403429,37.64312012,1.87,0.72,0.01,0.69
"덕릉로66길 17","주공17단지","도봉구","창동",127.0527598,37.64518226,1.09,0.33,0.01,1.54
"덕릉로71길 30","양지마을(대림)1","노원구","중계동",127.0695883,37.65057,0.51,0.2,0.09,0.69
"덕릉로71길 5","성원1","노원구","중계동",127.0708228,37.65049684,0.61,0.11,0.03,0.74
"덕릉로73길 28","양지마을(대림)2","노원구","중계동",127.0717515,37.65247277,0.78,0.25,0.09,0.6
"덕릉로76길 29","주공4","노원구","중계동",127.0761017,37.65473316,1.23,0.07,0.06,0.82
"덕릉로77길 5","중계3벽산","노원구","중계동",127.0737051,37.6548001,1.07,0.16,0.2,0.61
"덕릉로79길 23","염광","노원구","중계동",127.0733569,37.65697397,1.21,0.28,0.16,0.56
"덕릉로82길 13","비콘드림힐(602)","노원구","중계동",127.0760866,37.65837591,1.49,0.37,0.19,0.83
"덕릉로84길 7","중앙하이츠1","노원구","중계동",127.0759377,37.65974797,1.6,0.26,0.23,0.87
"덕릉로84길 7","중앙하이츠2","노원구","중계동",127.0759377,37.65974797,1.6,0.26,0.23,0.87
"덕릉로86길 70","청암3단지(582)","노원구","중계동",127.0790816,37.66086125,1.87,0.11,0.4,1.17
"덕릉로89길 8","성원2","노원구","중계동",127.0751201,37.66088258,1.65,0.26,0.11,0.87
"덕릉로94가길 20","청암2단지","노원구","상계동",127.0781486,37.6630984,2.01,0.19,0.18,1.23
"덕릉로94길 10","경남아너스빌","노원구","중계동",127.0765999,37.66235397,1.86,0.16,0.15,1.07
"덕릉로94길 21","상계불암대림","노원구","상계동",127.0771342,37.66243978,1.9,0.14,0.16,1.11
"도곡로 306","래미안그레이튼(진달래2차)","강남구","역삼동",127.0485186,37.49441247,2.88,0.15,0.03,0.27
"도곡로 320","래미안도곡카운티","강남구","도곡동",127.0509617,37.49540552,2.97,0.17,0.06,0.51
"도곡로 404","롯데캐슬리베","강남구","대치동",127.0547066,37.49664849,3.07,0.25,0.05,0.27
"도곡로 603","상지리츠빌카일룸(1009-4)","강남구","대치동",127.0681819,37.50162411,3.69,0.65,0.03,0.27
"도곡로14길 28","도곡2차 I-PARK","강남구","도곡동",127.0373105,37.48918592,1.85,0.18,0.21,0.44
"도곡로17길 12","거평빌라트","강남구","역삼동",127.0374258,37.49220045,1.87,0.5,0.12,0.65
"도곡로18길 34","현대아파트 1동~3동","강남구","도곡동",127.03829,37.4889598,1.94,0.22,0.27,0.39
"도곡로18길 35","현대아파트 1동~3동","강남구","도곡동",127.0384811,37.48900685,1.95,0.24,0.25,0.39
"도곡로19길 13","노블카운티","강남구","역삼동",127.0379682,37.49260045,1.93,0.55,0.11,0.59
"도곡로28길 8","도곡1차아이파크","강남구","도곡동",127.0427106,37.49227816,2.34,0.2,0.05,0.24
"도곡로3길 26","한스빌(836)","강남구","역삼동",127.0327858,37.49181011,1.46,0.54,0.18,0.86
"도곡로43길 20","래미안그레이튼","강남구","역삼동",127.0473435,37.49588268,2.75,0.16,0.13,0.29
"도곡로43길 21","래미안그레이튼(진달래2차)","강남구","역삼동",127.047072,37.49576056,2.74,0.18,0.11,0.26
"도곡로43길 37","상지리츠빌역삼2차","강남구","역삼동",127.0464656,37.49681989,2.62,0.26,0.08,0.31
"도곡로57길 9","트레벨","강남구","역삼동",127.0507752,37.49639647,2.87,0.17,0.08,0.5
"도곡로6길 18","대명비발디","강남구","도곡동",127.0344318,37.48909628,1.59,0.21,0.15,0.52
"도곡로78길 22","대치삼성","강남구","대치동",127.059527,37.49667917,3.37,0.25,0.17,0.15
"도곡로7길 22","금호어울림","강남구","역삼동",127.0344581,37.49217976,1.61,0.51,0.21,0.83
"도곡로7길 23","역삼열성카이스빌","강남구","역삼동",127.034204,37.492064,1.59,0.5,0.21,0.82
"도곡로93길 12","래미안 대치 하이스턴","강남구","대치동",127.0647564,37.50100692,3.46,0.5,0.14,0.32
"도구로 47","뉴캐슬","서초구","방배동",126.9882007,37.48095578,0.72,0.2,0.19,0.5
"도당로 10","엘지트윈빌Ⅰ·Ⅱ","도봉구","쌍문동",127.0352435,37.6591014,1.9,0.31,0.03,0.52
"도당로 116","거성학마을아파트","도봉구","방학동",127.0393126,37.66696247,2.69,0.69,0.12,0.42
"도당로 13","청구","도봉구","쌍문동",127.0348532,37.65938227,1.88,0.34,0.02,0.56
"도당로 18","대웅","도봉구","쌍문동",127.0350958,37.65979237,1.92,0.38,0.02,0.55
"도당로 37","삼익세라믹아파트","도봉구","방학동",127.0347011,37.66145442,1.99,0.51,0.03,0.66
"도당로6길 14","성원아파트","도봉구","방학동",127.035694,37.66130448,2.06,0.55,0.08,0.58
"도림로 107","럭키","구로구","구로동",126.894603,37.49164502,2.56,0.32,0.07,0.48
"도림로 12","801-9","구로구","구로동",126.8869922,37.4854779,2.38,0.76,0.03,0.76
"도림로 16","현암B동","구로구","구로동",126.8872359,37.48583666,2.36,0.72,0.07,0.72
"도림로 187","우성1","영등포구","대림동",126.9016787,37.49616489,3.03,0.52,0.04,0.33
"도림로 313","건영","영등포구","신길동",126.9019734,37.50543574,3.07,0.35,0.04,0.68
"도림로 365","동아","영등포구","도림동",126.898957,37.50953002,2.93,0.87,0.07,1
"도림로 44","경성B","구로구","구로동",126.8891312,37.48777244,2.35,0.49,0.01,0.58
"도림로 456","문래우정","영등포구","문래동3가",126.8928491,37.51547726,2.78,0.56,0.03,0.79
"도림로 462","국화맨션","영등포구","문래동3가",126.892229,37.51577771,2.75,0.56,0.03,0.74
"도림로 59","구로두산","구로구","구로동",126.8903012,37.48896979,2.36,0.37,0.03,0.54
"도림로10길 27","동화","구로구","구로동",126.8888704,37.48572281,2.48,0.6,0.19,0.77
"도림로12길 14","한신","구로구","구로동",126.8888498,37.48669952,2.41,0.55,0.1,0.67
"도림로143길 27","리버뷰신안인스빌2단지","영등포구","문래동4가",126.8902673,37.51362943,2.47,0.56,0.19,0.97
"도림로143길 30","문래동삼환","영등포구","문래동4가",126.8899767,37.5135322,2.44,0.54,0.22,0.98
"도림로145길 28","리버뷰신안인스빌1단지","영등포구","문래동4가",126.8890073,37.51426729,2.43,0.54,0.19,0.91
"도림로14길 11","태양","구로구","구로동",126.8892695,37.48735151,2.39,0.49,0.06,0.62
"도림로14길 11","대신빌라","구로구","구로동",126.8892695,37.48735151,2.39,0.49,0.06,0.62
"도림로14길 7","(779-13)","구로구","구로동",126.8889652,37.48747147,2.36,0.51,0.05,0.6
"도림로20길 30","성락","구로구","구로동",126.8930183,37.48873513,2.58,0.13,0.16,0.75
"도림로20길 50","우민늘푸른","구로구","구로동",126.893933,37.48826713,2.68,0.07,0.23,0.79
"도림로22길 8","이화우성","구로구","구로동",126.8934276,37.49010929,2.54,0.18,0.05,0.67
"도림로3길 15","구로아트빌라3동","구로구","구로동",126.8863105,37.48604908,2.29,0.78,0.06,0.69
"도림로3길 18","(803-29)","구로구","구로동",126.8866823,37.48603317,2.31,0.75,0.08,0.69
"도림로3길 3","(806-15)","구로구","구로동",126.8864051,37.48551744,2.34,0.8,0.02,0.75
"도림로3길 35","(747-34)","구로구","구로동",126.8869829,37.48680799,2.27,0.7,0.14,0.61
"도림로47길 1","우성2","영등포구","대림동",126.900311,37.49545186,2.93,0.44,0.04,0.19
"도림로54길 14","신대림 신동아파밀리에","영등포구","대림동",126.9030773,37.49536997,3.17,0.54,0.12,0.38
"도림로6길 30","(797-26)","구로구","구로동",126.8884824,37.48508553,2.5,0.67,0.13,0.83
"도림로6길 34","(797-5)","구로구","구로동",126.888702,37.48501688,2.52,0.66,0.15,0.82
