"학교명","주소","lon","lat"
"풍납중학교","서울특별시 송파구 올림픽로43길 20 (풍납동, 풍납중학교 )",127.1159444,37.5255375
"풍성중학교","서울특별시 송파구 강동대로2길 27 (풍납동, 풍성중학교)",127.1132908,37.5259311
"한산중학교","서울특별시 강동구 풍성로 251 (둔촌동,한산중학교)",127.14001,37.52832
"동북중학교","서울특별시 강동구 강동대로 305 (둔촌동)",127.1406733,37.5200101
"동신중학교","서울특별시 강동구 진황도로 72 , 동신중학교 (천호동)",127.1343268,37.5367808
"배명중학교","서울특별시 송파구 삼학사로 11 (삼전동)",127.095807,37.5013664
"배재중학교","서울특별시 강동구 고덕로 227 , 배재중학교 (고덕동)",127.1496025,37.5556498
"보성중학교","서울특별시 송파구 양재대로 1278 (방이동,보성중고등학교)",127.135179,37.5194576
"보인중학교","서울특별시 송파구 오금로49길 18 , 보인중학교 (오금동)",127.1388757,37.4972661
"상일여자중학교","서울특별시 강동구 천호대로219길 61 , 상일여자중학교 (상일동)",127.1703401,37.5496514
"성덕여자중학교","서울특별시 강동구 구천면로 396 , 성덕여자중학교 (천호동)",127.142176,37.550568
"영파여자중학교","서울특별시 송파구 올림픽로 565 , 영파여자중학교 (풍납동)",127.1202571,37.5326565
"일신여자중학교","서울특별시 송파구 송파대로38길 8 (송파동,일신여자중학교)",127.1135991,37.5017159
"정신여자중학교","서울특별시 송파구 올림픽로4길 16 , 정신여자중학교 (잠실동)",127.0727099,37.5092902
"한영중학교","서울특별시 강동구 동남로 832 (상일동,한영중학교)",127.1573165,37.5491453
"강신중학교","서울특별시 양천구 남부순환로 604 (신월동)",126.8388714,37.5150787
"경서중학교","서울특별시 강서구 양천로59길 31 (가양동)",126.8586383,37.5610442
"공진중학교","서울특별시 강서구 양천로55길 56 , 공진중학교 (가양동)",126.8510371,37.5664762
"공항중학교","서울특별시 강서구 방화대로 241 , 공항중학교 (공항동)",126.8154028,37.5628296
"금옥중학교","서울특별시 양천구 신정로 213 (신정동) 금옥중학교",126.8441801,37.5103101
"등명중학교","서울특별시 강서구 공항대로39길 39 (등촌동,등명중학교)",126.8433053,37.5601467
"등원중학교","서울특별시 강서구 화곡로65길 50 , 등원중학교 (등촌동)",126.8515914,37.5594064
"마곡중학교","서울특별시 강서구 마곡중앙5로 58 (마곡동)",126.8265243,37.5594238
"목동중학교","서울특별시 양천구 목동동로 172 (신정동)",126.8717016,37.5206085
"목운중학교","서울특별시 양천구 목동동로 235 (목동,목운초.중학교)",126.8729254,37.5267322
"목일중학교","서울특별시 양천구 목동동로8길 70 , (신정동, 목일중학교)",126.8741724,37.5134146
"방원중학교","서울특별시 강서구 금낭화로 268 , 방원중학교 (방화동)",126.8087358,37.5756696
"방화중학교","서울특별시 강서구 개화동로27길 9 (방화동)",126.8068782,37.5651074
"백석중학교","서울특별시 강서구 등촌로51나길 35 , 백석중학교 (등촌동)",126.858928,37.548223
"삼정중학교","서울특별시 강서구 금낭화로 210 삼정중학교 (방화동)",126.8107077,37.5816411
"성재중학교","서울특별시 강서구 허준로 36 (가양동)",126.8452929,37.5692295
"송정중학교","서울특별시 강서구 남부순환로 121 (공항동)",126.8150759,37.5537235
"수명중학교","서울특별시 강서구 수명로2길 16 , 수명중학교 (내발산동)",126.8235962,37.548812
"신남중학교","서울특별시 양천구 중앙로29길 109 , 신남중학교 (신월동)",126.8478605,37.5205455
"신목중학교","서울특별시 양천구 목동중앙로 88 (목동)",126.8728552,37.5368606
"신서중학교","서울특별시 양천구 중앙로 206 , 신서중학교 (신정동)",126.8556467,37.5158399
"신원중학교","서울특별시 양천구 가로공원로55길 19 , 신원중학교 (신월동)",126.8243187,37.5366468
"신월중학교","서울특별시 양천구 남부순환로29길 25 , 신월중학교 (신월동)",126.8284483,37.5407787
"신화중학교","서울특별시 양천구 남부순환로29길 35 , 신화중학교 (신월동)",126.8301236,37.5410075
"양강중학교","서울특별시 양천구 중앙로 319 (신월동,양강중학교)",126.8496413,37.5243526
"양동중학교","서울특별시 양천구 목동중앙북로 49 , 양동중학교 (목동)",126.869314,37.5477018
"양서중학교","서울특별시 양천구 남부순환로 380 (신월동)",126.8291403,37.5322157
"양천중학교","서울특별시 양천구 지양로7길 32 , 양천중학교 (신월동)",126.8307911,37.5196695
"염경중학교","서울특별시 강서구 양천로69길 35 , 염경중학교 (염창동)",126.8706748,37.5545066
"염창중학교","서울특별시 강서구 양천로67가길 83 , 염창중학교 (염창동)",126.871872,37.5535012
"월촌중학교","서울특별시 양천구 목동서로 31 (목동, 월촌중학교)",126.883007,37.537426
"화원중학교","서울특별시 강서구 강서로17나길 86 (화곡동)",126.8425137,37.5363887
"덕원중학교","서울특별시 강서구 강서로45길 91-44 , 덕원중학교 (내발산동)",126.8294567,37.5498397
"등촌중학교","서울특별시 강서구 공항대로 484-12 (등촌동,등촌중학교)",126.8594662,37.5523385
"마포중학교","서울특별시 강서구 화곡로 403 (등촌동)",126.8534143,37.5598894
"명덕여자중학교","서울특별시 강서구 강서로47길 34-10 (내발산동)",126.8347305,37.5536011
"봉영여자중학교","서울특별시 양천구 목동동로2길 68 (신정동)",126.8607466,37.5090728
"신정여자중학교","서울특별시 강서구 등촌로13아길 20 , 신정여자중학교 (화곡동)",126.8574143,37.5379249
"양정중학교","서울특별시 양천구 안양천로 1039 , 양정중학교(목동,양정고등학교) (목동)",126.8869526,37.5348353
"영도중학교","서울특별시 양천구 목동중앙남로 27 , 영도중학교 (목동,강서고등학교)",126.866561,37.5363813
"화곡중학교","서울특별시 강서구 강서로45길 70 (내발산동)",126.8328267,37.5488204
"개원중학교","서울특별시 강남구 영동대로 101 , 개원중학교 (개포동)",127.0717443,37.4916369
"개포중학교","서울특별시 강남구 선릉로 9 (개포동)",127.0721584,37.4937045
"경원중학교","서울특별시 서초구 신반포로33길 39 (잠원동)",127.0192056,37.5113743
"구룡중학교","서울특별시 강남구 선릉로 103 (개포동)",127.075224,37.4818842
"대명중학교","서울특별시 강남구 역삼로87길 26 (대치동)",127.0608974,37.5063402
"대왕중학교","서울특별시 강남구 광평로20길 7 (수서동)",127.0873271,37.483438
"대청중학교","서울특별시 강남구 양재천로 321 (대치동,대청중학교)",127.0582694,37.4905178
"대치중학교","서울특별시 강남구 남부순환로378길 39 (도곡동,대치중학교)",127.0476421,37.4842181
"도곡중학교","서울특별시 강남구 언주로57길 31 (도곡동,도곡중학교)",127.0449916,37.4923089
"반포중학교","서울특별시 서초구 신반포로 67 , 반포중학교 (반포동)",126.9920536,37.5029248
"방배중학교","서울특별시 서초구 동광로 144 (반포동)",126.9982545,37.4944786
"봉은중학교","서울특별시 강남구 영동대로128길 59 (삼성동,봉은중학교)",127.0623804,37.5188925
"서운중학교","서울특별시 서초구 서운로 115 (서초동)",127.0247491,37.493993
"서일중학교","서울특별시 서초구 서운로21길 2 (서초동,서일중학교)",127.0221646,37.499244
