"학교명","주소","lon","lat"
"한성고등학교","서울특별시 서대문구 북아현로3길 24 (북아현동,한성중<U+30FB>고등학교)",126.9545831,37.5599241
"한성여자고등학교","서울특별시 성북구 삼선교로16길 117 , 한성여자고등학교 (삼선동2가)",127.0117316,37.5827286
"한양대학교사범대학부속고등학교","서울특별시 성동구 마조로 42 , 한양대학교사범대학부속고등학교 (사근동)",127.0422967,37.5618699
"한영고등학교","서울특별시 강동구 동남로 832 (상일동,한영고등학교)",127.1582951,37.5488717
"한영외국어고등학교","서울특별시 강동구 동남로 832 (상일동)",127.1582951,37.5488717
"해성여자고등학교","서울특별시 동대문구 전농로20길 31 (전농동,해성여자고등학교)",127.0567561,37.581358
"현대고등학교","서울특별시 강남구 압구정로 127 , 현대고등학교 (압구정동)",127.0226548,37.5250492
"혜성여자고등학교","서울특별시 노원구 노원로16길 2 (하계동,혜성여자고등학교)",127.0735137,37.6405552
"혜원여자고등학교","서울특별시 중랑구 봉우재로58길 39 (망우동)",127.0967019,37.592991
"홍익대학교사범대학부속고등학교","서울특별시 성북구 성북로14가길 23 (성북동) 홍익대학교부속고등학교",127.0027421,37.5938669
"홍익대학교사범대학부속여자고등학교","서울특별시 마포구 성미산로 51 (성산동)",126.9136816,37.5593519
"화곡고등학교","서울특별시 강서구 강서로45길 69 (내발산동)",126.831698,37.5480514
"환일고등학교","서울특별시 중구 환일길 47 , 환일고등학교 (만리동2가)",126.9621659,37.5538139
"휘경여자고등학교","서울특별시 동대문구 한천로 247 , 휘경여자고등학교 (휘경동)",127.0673647,37.5838489
"휘문고등학교","서울특별시 강남구 역삼로 541 , 휘문고등학교 (대치동)",127.0625848,37.5048443
"강서공업고등학교","서울특별시 강서구 방화대로47길 9 (방화동,강서공업고등학교)",126.8155968,37.575826
"경기기계공업고등학교","서울특별시 노원구 공릉로 264 (하계동,경기기계공업고등학교)",127.0747638,37.6318897
"경기상업고등학교","서울특별시 종로구 자하문로 136 , 경기상업고등학교 (청운동)",126.9696364,37.5888097
"덕수고등학교","서울특별시 성동구 왕십리로 199 , 덕수고등학교 (행당동)",127.042149,37.5555488
"서울공업고등학교","서울특별시 동작구 대방동1길 46 , 서울공업고등학교 (대방동)",126.9222268,37.5015973
"서울금융고등학교","서울특별시 양천구 가로공원로61길 19 , 서울금융고등학교 (신월동)",126.825653,37.5373858
"서울도시과학기술고등학교","서울특별시 성북구 종암로 196 , 서울도시과학기술고등학교 (하월곡동)",127.0324838,37.6073767
"서울로봇고등학교","서울특별시 강남구 광평로20길 63 (일원동)",127.084375,37.4807426
"서울문화고등학교","서울특별시 도봉구 마들로 598 (방학동,서울문화고등학교)",127.0476527,37.6633574
"서울방송고등학교","서울특별시 성동구 동호로5길 131 (옥수동)",127.0105807,37.547354
"서울전자고등학교","서울특별시 서초구 과천대로 852-23 (방배동)",126.988415,37.4693105
"선린인터넷고등학교","서울특별시 용산구 원효로97길 33-4 (청파동3가,선린인터넷고등학교)",126.9666891,37.542351
"성동공업고등학교","서울특별시 중구 다산로 290 (흥인동)",127.0168823,37.5687019
"성동글로벌경영고등학교","서울특별시 중구 퇴계로 375 (신당동)",127.0132205,37.5656609
"성수공업고등학교","서울특별시 성동구 뚝섬로 365 (성수동2가)",127.0514262,37.540543
"송파공업고등학교","서울특별시 송파구 양산로 21 (거여동)",127.1424358,37.4917279
