"addr","lon","lat"
"서울특별시 강동구 성내동 51",127.1249119,37.5367269
"서울특별시 강동구 성내동 590",127.1263066,37.5312336
"서울특별시 강동구 성내동 295",127.1246993,37.5316767
"서울특별시 강동구 성내동 423-15",127.1318605,37.5280416
"서울특별시 강동구 성내동 452-3",127.1213209,37.527432
"서울특별시 강동구 성내동 164-1",127.1312791,37.5358332
"서울특별시 강동구 성내동 194",127.1325631,37.5351713
"서울특별시 강동구 성내동 593",127.1228316,37.5272062
"서울특별시 강동구 성내동 599",127.1351667,37.5328162
"서울특별시 강동구 성내동 592",127.1278068,37.5333811
"서울특별시 강동구 성내동 396-10",127.1361754,37.5313864
"서울특별시 강동구 성내동 419-11",127.1323335,37.5291074
"서울특별시 강동구 성내동 196-8",127.1323489,37.5343165
"서울특별시 강동구 성내동 595",127.1217027,37.5323014
"서울특별시 강동구 성내동 420-9",127.132117,37.529332
"서울특별시 강동구 성내동 427-74",127.1345856,37.5278795
"서울특별시 강동구 성내동 605",127.1229563,37.5318215
"서울특별시 강동구 성내동 428-2",127.1346721,37.526853
"서울특별시 강동구 성내동 111-64",127.1225278,37.5328608
"서울특별시 강동구 성내동 601",127.1315355,37.525327
"서울특별시 강동구 성내동 435-2",127.1293176,37.5263406
"서울특별시 강동구 성내동 594",127.1298297,37.5246278
"서울특별시 강동구 성내동 454-1",127.1213153,37.5284862
"서울특별시 강동구 성내동 30-2",127.1267972,37.5351532
"서울특별시 강동구 암사동 441-1",127.1300342,37.5554209
"서울특별시 강동구 암사동 459-1",127.1323181,37.5545493
"서울특별시 강동구 암사동 447-8",127.1357704,37.555309
"서울특별시 강동구 암사동 503-31",127.1273017,37.5518624
"서울특별시 강동구 암사동 503-6",127.1273575,37.5520322
"서울특별시 강동구 암사동 501-4",127.1281831,37.550138
"서울특별시 강동구 암사동 492-45",127.1317413,37.5501236
"서울특별시 강동구 암사동 414-2",127.1419695,37.5563679
"서울특별시 강동구 암사동 474-21",127.1363943,37.5523392
"서울특별시 강동구 암사동 508",127.1271601,37.5541058
"서울특별시 강동구 암사동 509",127.1256829,37.552482
"서울특별시 강동구 암사동 422-26",127.1389417,37.5512738
"서울특별시 강동구 암사동 419",127.140409,37.5520135
"서울특별시 강동구 암사동 472-18",127.1331714,37.552111
"서울특별시 강동구 암사동 446-3",127.134056,37.5552847
"서울특별시 강동구 암사동 463-18",127.1296135,37.5534509
