"유치원명","설립","주소","lon","lat"
"서울자양초등학교병설유치원","공립","서울특별시 광진구 아차산로44길 26 , 서울자양초등학교병설유치원 (자양동)",127.0795716,37.5366792
"서울길원초등학교병설유치원","공립","서울특별시 성북구 서경로8길 28-15 , 서울길원초병설유치원 (길음동,서울길원초등학교)",127.0168296,37.6089308
"서울길음유치원","공립","서울특별시 성북구 길음로 142 , 서울길음유치원 (길음동)",127.0179921,37.613752
"서울돈암초등학교병설유치원","공립","서울특별시 성북구 동소문로13길 38 (동소문동6가,서울돈암초등학교)",127.013138,37.5933157
"서울동신초등학교병설유치원","공립","서울특별시 성북구 보문사길 50 (보문동3가,서울동신초등학교)",127.0170764,37.5827002
"서울미양초등학교병설유치원","공립","서울특별시 강북구 솔샘로 195 (미아동)",127.0134047,37.6214401
"서울번동초등학교병설유치원","공립","서울특별시 강북구 오현로 204 (번동)",127.040486,37.6288618
"서울삼선초등학교병설유치원","공립","서울특별시 성북구 보문로29길 106 (삼선동3가,서울삼선초등학교)",127.0126323,37.5861997
"서울석관초등학교병설유치원","공립","서울특별시 성북구 돌곶이로22길 21 (석관동, 서울석관초등학교병설유치원)",127.059044,37.610698
"서울성북초등학교병설유치원","공립","서울특별시 성북구 성북로 102-10 (성북동,서울성북초등학교)",126.9982282,37.595267
"서울수유초등학교병설유치원","공립","서울특별시 강북구 삼양로74길 39 (수유동,수유초등학교)",127.0203479,37.6305796
"서울숭곡초등학교병설유치원","공립","서울특별시 성북구 종암로40길 30 , 서울숭곡초등학교병설유치원 (하월곡동)",127.0326352,37.6083312
"서울숭례초등학교병설유치원","공립","서울특별시 성북구 종암로5길 14 (종암동)",127.0351047,37.5946714
"서울장곡초등학교병설유치원","공립","서울특별시 성북구 장월로23길 16 , 서울장곡초등학교병설유치원 (장위동)",127.0481557,37.61653
"서울장월초등학교병설유치원","공립","서울특별시 성북구 한천로101길 66 (장위동,서울장월초등학교)",127.046767,37.622168
"서울정덕초등학교병설유치원","공립","서울특별시 성북구 아리랑로 63 , 서울정덕초등학교병설유치원 (동소문동7가)",127.0137429,37.5978649
"서울청덕초등학교병설유치원","공립","서울특별시 성북구 정릉로9라길 11 (정릉동)",127.0003392,37.6120423
"서울화계초등학교병설유치원","공립","서울특별시 강북구 솔매로50가길 25 (미아동)",127.0290073,37.6237383
