"address","Apart","gu","dong","long","lat"
"풍성로 114","성안마을청구","강동구","성내동",127.1247175,37.53199804
"풍성로 127","성내동삼성아파트","강동구","성내동",127.1263535,37.53178815
"풍성로 128","성내동삼성아파트","강동구","성내동",127.1262086,37.53142877
"풍성로 14","미성","송파구","풍납동",127.1140109,37.53507691
"풍성로 196","둔촌역청구","강동구","성내동",127.1335615,37.52956123
"풍성로 203","둔촌역아치스톤(101동)","강동구","성내동",127.1343887,37.52953113
"풍성로 91","포레스(A동)","강동구","성내동",127.1224572,37.53288459
"풍성로14길 19","토성현대","송파구","풍납동",127.1159662,37.53262657
"풍성로24길 42","현대리버빌2지구","송파구","풍납동",127.1163248,37.53210783
"풍성로26길 31","송파현대힐스테이트","송파구","풍납동",127.1180244,37.53105588
"풍성로26길 47","송파해모로","송파구","풍납동",127.1167822,37.53000944
"풍성로37길 54","성내2차e-편한세상","강동구","성내동",127.1268599,37.53413667
"풍성로37길 55","성내2차e-편한세상","강동구","성내동",127.1264634,37.53433947
"풍성로52길 14","태천","강동구","성내동",127.1321247,37.52932771
"풍성로52길 15","주성AURA1","강동구","성내동",127.132289,37.52916713
"풍성로52길 41","신성","강동구","성내동",127.1317588,37.52810655
"풍성로53길 40","경보그레이스힐","강동구","성내동",127.135088,37.53106275
"풍성로54길 12","동아1","강동구","성내동",127.1334467,37.52897223
"풍성로55길 52","일심","강동구","성내동",127.136121,37.53147134
"풍성로56길 15","동일상가","강동구","성내동",127.1350238,37.52842633
"풍성로61길 10","그랜드1","강동구","둔촌동",127.1377647,37.52905137
"풍성로65길 21","라이프101동(544)102동(544-1)","강동구","둔촌동",127.1394905,37.52902812
"풍성로65길 34","현대2","강동구","둔촌동",127.1400738,37.52946514
"풍성로6길 15","신동아파밀리에","송파구","풍납동",127.1141979,37.53366178
"학동로 165","마일스디오빌","강남구","논현동",127.0289747,37.5136841
"학동로 338","논현파라곤","강남구","논현동",127.0401082,37.51666877
"학동로 405","삼성청담아파트","강남구","청담동",127.0427598,37.51771548
"학동로 409","청담우방","강남구","청담동",127.0438725,37.51806663
"학동로 412","석탑아파트101동","강남구","삼성동",127.0450051,37.51745021
"학동로 420","푸른솔아파트1동","강남구","삼성동",127.0462278,37.51775422
"학동로 432","삼성동롯데아파트","강남구","삼성동",127.0483783,37.51748947
"학동로 437","청담파크빌","강남구","청담동",127.0487998,37.51879072
"학동로 513","진흥아파트","강남구","청담동",127.0549263,37.51985915
"학동로 609","청담삼익아파트","강남구","청담동",127.059849,37.52119943
"학동로11길 13","브라운스톤","강남구","논현동",127.0242708,37.51316569
"학동로30길 21","논현베르빌","강남구","논현동",127.0324153,37.51273352
